Wall time,Step,Value
1650287118.163938,163100,28.284013748168945
1650287122.9760714,163600,32.38230514526367
1650287127.811143,164100,25.666940689086914
1650287137.4882689,165100,26.900163650512695
1650287142.3043904,165600,27.596294403076172
1650287151.9166899,166600,34.1161994934082
1650287161.5479376,167600,30.488208770751953
1650287171.1931474,168600,32.52933120727539
1650287176.013281,169100,25.108230590820312
1650287180.819409,169600,37.34930419921875
1650287185.6186054,170100,33.79826736450195
1650287190.428744,170600,30.246126174926758
1650287195.2488275,171100,32.76947021484375
1650287200.052981,171600,31.068342208862305
1650287204.8960612,172100,26.409399032592773
1650287209.7141497,172600,38.041988372802734
1650287214.541243,173100,31.268449783325195
1650287219.351382,173600,35.42885971069336
1650287224.1876478,174100,30.77315330505371
1650287228.9818318,174600,30.47078514099121
1650287233.7869434,175100,34.59774398803711
1650287238.5940893,175600,30.161649703979492
1650287243.406223,176100,31.73200225830078
1650287248.194451,176600,27.201854705810547
1650287252.9956095,177100,28.866926193237305
1650287257.8177166,177600,35.604209899902344
1650287262.6248631,178100,30.985652923583984
1650287267.436,178600,33.64684295654297
1650287272.2620955,179100,33.848304748535156
1650287277.0881913,179600,30.847158432006836
1650287281.9152842,180100,29.876815795898438
1650287286.7673488,180600,26.397279739379883
1650287291.5654812,181100,29.467884063720703
1650287296.370633,181600,40.20766067504883
1650287301.1807714,182100,31.618568420410156
1650287305.9669743,182600,30.095470428466797
1650287310.754182,183100,30.740144729614258
1650287315.5473588,183600,34.62101745605469
1650287320.3505156,184100,33.51011657714844
1650287329.9798036,185100,30.443016052246094
1650287334.7998803,185600,28.057992935180664
1650287344.4122076,186600,31.46722412109375
1650287349.2213495,187100,31.477270126342773
1650287354.016529,187600,30.16408348083496
1650287358.8256402,188100,31.95173454284668
1650287363.6307914,188600,38.13693618774414
1650287368.4409301,189100,29.455768585205078
1650287373.2530978,189600,30.079692840576172
1650287382.9072812,190600,31.655231475830078
1650287387.703426,191100,31.887548446655273
1650287397.3566146,192100,30.469013214111328
1650287402.2046523,192600,29.995023727416992
1650287407.0237951,193100,29.816299438476562
1650287411.8448756,193600,21.202611923217773
1650287416.7284005,194100,33.76381301879883
1650287426.3556175,195100,26.57798194885254
1650287431.1627657,195600,20.353374481201172
1650287435.9868662,196100,26.326173782348633
1650287440.813959,196600,24.27001190185547
1650287450.4452074,197600,29.849424362182617
1650287455.342339,198100,30.15807342529297
1650287460.1604812,198600,26.312652587890625
1650287464.9566321,199100,28.472270965576172
1650287469.7777426,199600,30.049205780029297
1650287479.3920352,200600,32.66473388671875
1650287484.2121756,201100,31.8234806060791
1650287489.0352714,201600,26.737455368041992
1650287498.6914654,202600,31.368127822875977
1650287503.499576,203100,32.32118606567383
1650287513.1847079,204100,28.180500030517578
1650287522.840607,205100,33.00325012207031
1650287527.643765,205600,37.977237701416016
1650287532.4439306,206100,34.967742919921875
1650287542.0582697,207100,33.620304107666016
1650287546.8653896,207600,34.36997985839844
1650287551.6964703,208100,34.42498016357422
1650287561.3351283,209100,25.065378189086914
1650287566.1263514,209600,33.59318542480469
1650287570.9414756,210100,31.57710075378418
1650287575.8852239,210600,41.1404914855957
1650287580.7881145,211100,33.69578170776367
1650287585.6641057,211600,35.51564025878906
1650287590.465269,212100,40.68965148925781
1650287600.1044998,213100,35.86654281616211
1650287609.7347162,214100,27.582983016967773
1650287619.369954,215100,24.250125885009766
1650287629.0012016,216100,30.780092239379883
1650287643.4416268,217600,34.68163299560547
1650287648.2577126,218100,27.659725189208984
1650287657.9328432,219100,33.062705993652344
1650287662.7579794,219600,26.1175537109375
1650287667.6109939,220100,29.283260345458984
1650287672.4330719,220600,35.26171112060547
1650287677.2761655,221100,15.70093822479248
1650287686.9493008,222100,30.554044723510742
1650287691.742519,222600,35.90837478637695
1650287696.541653,223100,36.602020263671875
1650287701.3617647,223600,29.36609649658203
1650287706.1579404,224100,30.82621955871582
1650287710.9521384,224600,28.73520278930664
1650287715.7612908,225100,34.73573684692383
1650287720.5574381,225600,34.45110321044922
1650287725.38154,226100,29.61541175842285
1650287730.1866922,226600,32.57672882080078
1650287734.9819021,227100,34.037208557128906
1650287739.7950008,227600,32.38390350341797
1650287749.4112885,228600,37.618011474609375
1650287754.2643116,229100,19.52747344970703
1650287759.0744817,229600,34.884220123291016
1650287763.8995497,230100,31.789661407470703
1650287768.7246482,230600,33.263702392578125
1650287773.5308254,231100,34.7360954284668
1650287778.3249786,231600,34.836891174316406
1650287783.1510744,232100,22.76190948486328
1650287787.9522367,232600,32.8118896484375
1650287793.5632343,233100,33.028648376464844
1650287798.6965077,233600,33.88216781616211
1650287803.7609677,234100,33.07220458984375
1650287808.8124607,234600,32.73857116699219
1650287813.9317727,235100,26.832637786865234
1650287819.0052068,235600,27.667158126831055
1650287824.0975914,236100,32.62266540527344
1650287829.1530733,236600,23.837968826293945
1650287834.2155373,237100,31.633907318115234
1650287839.2860045,237600,35.97646713256836
1650287849.4448168,238600,29.682296752929688
1650287854.5501654,239100,24.633464813232422
1650287874.8668432,241100,37.81105041503906
1650287879.9482555,241600,30.005136489868164
1650287885.0296693,242100,33.19207763671875
1650287890.0981166,242600,24.488624572753906
1650287895.166564,243100,27.807390213012695
1650287900.2449863,243600,34.035133361816406
1650287905.3104415,244100,30.41304588317871
1650287910.3529587,244600,28.880321502685547
1650287920.4958718,245600,27.250226974487305
1650287925.5453377,246100,30.92784881591797
1650287930.6078014,246600,26.41398048400879
1650287945.8251138,248100,29.471769332885742
1650287950.9065263,248600,26.47479820251465
1650287961.090296,249600,30.638164520263672
1650287976.3056138,251100,36.7314338684082
1650287981.3910162,251600,24.132381439208984
1650287986.5083344,252100,33.259220123291016
1650287991.5727923,252600,31.120235443115234
1650287996.6392453,253100,33.145347595214844
1650288001.7834907,253600,33.89821243286133
1650288006.8838816,254100,25.535785675048828
1650288011.9722478,254600,30.366840362548828
1650288017.0516653,255100,31.020780563354492
1650288022.1181464,255600,31.56341552734375
1650288027.1716068,256100,32.58662796020508
1650288037.3493934,257100,29.626522064208984
1650288042.4557397,257600,27.385726928710938
1650288047.5341618,258100,31.07998275756836
1650288052.6056015,258600,24.58011817932129
1650288057.6640756,259100,36.22582244873047
1650288062.7584782,259600,27.894533157348633
1650288067.8219383,260100,32.918701171875
1650288077.9787803,261100,28.274600982666016
1650288083.0731595,261600,30.931865692138672
1650288088.2054374,262100,30.287763595581055
1650288093.279883,262600,33.65705108642578
1650288123.7803383,265600,18.038970947265625
1650288133.8972876,266600,34.97791290283203
1650288139.0026371,267100,32.36349105834961
1650288144.0820553,267600,28.415489196777344
1650288149.144519,268100,32.693115234375
1650288154.2289252,268600,24.480701446533203
1650288159.30934,269100,32.04644775390625
1650288164.3807895,269600,32.28828430175781
1650288169.465185,270100,32.81719970703125
1650288174.566546,270600,27.30291748046875
1650288179.6728928,271100,24.28632926940918
1650288184.7612875,271600,34.04200744628906
1650288189.8367522,272100,33.9051513671875
1650288194.926144,272600,31.22287368774414
1650288200.007557,273100,33.374916076660156
1650288205.0849814,273600,26.17500114440918
1650288210.1344786,274100,30.15862464904785
1650288215.2059364,274600,32.03533172607422
1650288225.3966942,275600,31.121074676513672
1650288230.483094,276100,29.07489585876465
1650288235.5615158,276600,31.38297462463379
1650288245.7203522,277600,30.72446632385254
1650288250.794806,278100,30.21946907043457
1650288255.9570038,278600,18.730045318603516
1650288261.023457,279100,31.04666519165039
1650288266.067969,279600,35.27312469482422
1650288271.1174674,280100,36.278297424316406
1650288276.197883,280600,31.895912170410156
1650288281.2892702,281100,30.87114715576172
1650288286.343755,281600,28.180112838745117
1650288291.397242,282100,32.29982376098633
1650288296.4527245,282600,27.902355194091797
