,Step,Value
176,108100,33.65487289428711
177,108600,30.183914184570312
178,109100,25.73961639404297
179,109600,25.680456161499023
180,110100,27.36162567138672
181,110600,28.380096435546875
182,111100,27.899873733520508
183,111600,26.57073402404785
184,112600,25.328144073486328
185,113100,32.62599563598633
186,113600,31.735750198364254
187,114600,37.49742889404297
188,115100,31.36725425720215
189,115600,32.031951904296875
190,116100,30.455551147460938
191,116600,33.600860595703125
192,117100,31.94994354248047
193,117600,34.22222137451172
194,118600,34.6152229309082
195,119100,34.85942459106445
196,120100,32.07676315307617
197,120600,30.211645126342773
198,121100,31.96537399291992
199,122100,35.25814437866211
200,122600,33.032325744628906
201,123100,31.54550552368164
202,123600,26.61554718017578
203,124100,25.204532623291016
204,124600,26.579893112182617
205,125100,36.23150634765625
206,125600,33.7144889831543
207,126100,35.71022033691406
208,126600,33.72871398925781
209,127100,28.49022102355957
210,127600,28.55879592895508
211,128100,19.57037734985352
212,129100,29.60492706298828
213,129600,33.67300033569336
214,130100,40.42495727539063
215,130600,32.368255615234375
216,131600,33.09122467041016
217,132100,37.17610931396485
218,132600,31.566932678222656
219,133600,29.19847297668457
220,134600,33.37360382080078
221,135600,26.796764373779297
222,136100,33.789894104003906
223,136600,32.01825714111328
224,137100,34.58407974243164
225,137600,33.30204772949219
226,138600,31.14272689819336
227,139100,23.613182067871094
228,139600,33.78778076171875
229,140100,23.476730346679688
230,140600,33.94477844238281
231,141100,22.821025848388672
232,141600,30.490816116333008
233,142100,38.61850738525391
234,144600,31.624156951904297
235,145600,33.14038848876953
236,146100,28.775531768798828
237,147100,23.01961898803711
238,147600,20.626131057739254
239,148100,31.83489418029785
240,148600,31.542699813842773
241,149100,23.8344841003418
242,149600,33.81805419921875
243,150100,29.74763298034668
244,150600,32.99278259277344
